trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
80,False,"{'a': 0.5, 'e': 0.45384479528235583}",30,16,-9.913633811171493,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,0,-7.632937863709797,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.4448580662229411}",25,0,-68.86264476464027,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.4404316545059993}",25,0,-43.95063180182129,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.4360492863215356}",20,0,-76.52520875512351,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,6,12.953148668507927,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.4274149319487267}",35,0,-160.37859439413032,"{0: 26, 1: 1, 2: 3, 3: 2, 4: 3}",0
87,False,"{'a': 0.5, 'e': 0.4231620823177488}",30,17,-104.83236725188681,"{0: 9, 1: 0, 2: 0, 3: 2, 4: 2}",1
88,False,"{'a': 0.5, 'e': 0.418951549247639}",25,0,-66.12194898292631,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.4147829116815814}",25,0,-76.48464374137005,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.4106557527523455}",20,7,-30.446243161520083,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,8,7.5741784898118745,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.40252422403363597}",20,10,19.076208579326185,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.39851904108451414}",20,11,10.570344746776808,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3945537103716011}",25,0,-82.59886218414664,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.39062783535852114}",20,0,6.035006778184032,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.38674102345450123}",30,0,-73.4947101709325,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.38289288597511206}",20,0,-66.22707188090295,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.37908303810339883}",20,2,-24.07844906967121,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.37531109885139957}",20,6,8.589397192517916,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.3715766910220457}",20,0,-45.05023137079621,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,0,-23.871746945395913,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.3642189795715233}",25,3,-89.29388158271672,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 2}",1
103,False,"{'a': 0.5, 'e': 0.3605949401730783}",20,10,21.166682716186017,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.3570069605691474}",20,14,4.567485104975476,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.35345468195878016}",25,0,-98.07075721835865,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.3499377491111553}",20,5,5.151882947334521,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.3464558103300574}",25,0,-152.30721390716252,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 4}",0
108,False,"{'a': 0.5, 'e': 0.34300851741870664}",25,19,10.017886764499977,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.3395955256449391}",25,14,0.8279083687131339,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.33621649370673334}",25,0,-58.62967536599248,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.33287108369807955}",25,14,-3.237104296735941,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.32955896107518906}",20,5,-1.9003932700908093,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.32627979462303947}",25,0,10.492147297243813,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.32303325642225295}",35,9,-14.06170759616969,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.31981902181630395}",25,19,8.744701256748396,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
